full_text,label
"Tulis Pray for Cianjur, tapi Sebar Video Gempa Donggala 2018 https://t.co/BkWAsozaq5",-1
BSMI PEDULI CIANJUR  BSMI mendirikan posko peduli gempa Cianjur berupa Rumah Sakit Lapangan untuk memberikan bantuan medis kepada korban gempa. Dukung Tim relawan BSMI mari bantu warga Cianjur. Salam kemanusiaan tanpa batas. Care for life. Selamatkan satu jiwa sambung seribu… https://t.co/SFBj9ajozZ,1
Presiden MBZ Kirim Bantuan Makanan untuk Korban Gempa Cianjur https://t.co/8uSabE3UuP https://t.co/6xzIsZTafq,1
Mengapa Gempa Cianjur Memiliki Daya Rusak Besar? https://t.co/peRtSR8Mxi,1
Gus Muhaimin Serukan Kader PKB dan Semua Pihak Bantu Korban Gempa Cianjur  #BagusMuhaiminSampang @cakimiNOW @halimiskandarnu @DPP_PKB @FraksiPKB @imansyukri @EmHasanuddin @dpwpkbjatim_ @Ari_Asharie @enterdeeper @Mift4hulMunir @mujib_mdr @HamiidEldino https://t.co/hcFOGk2ZBa,1
"Sejumlah lokasi bencana kehabisan stok kain kafan untuk pemulasaran jenazah korban gempa Cianjur, Jabar. Jenazah terpaksa didiamkan di halaman posko darurat. https://t.co/176AnVsWXw",-1
"@ireezne Barusan aku baca, katanya cianjur kena gempa sampek 145 kali. Serem banget. Mama stay safe ya, semoga mama sama keluarga baik baik aja😢😢😢",1
PVMBG Ungkap Dua Penyebab Daya Rusak Gempa Cianjur https://t.co/ukd47Tt50C #TempoTekno,1
Pray For Cianjur  Turut berduka cita atas musibah gempa yang terjadi di Cianjur dan sekitarnya.  #PANDI  #BanggaPakaiID  #DomainID  #DomainIndonesia  #PrayForCianjur https://t.co/e6OqxRH0wl,1
Polri Sebut Korban Gempa Bumi Cianjur Sudah 90 Persen Teridentifikasi https://t.co/ci0MyirfvJ,1
Hari ini saya bersama Pejabat Utama (PJU) Mabes Polri dan Ketua Umum Bhayangkari beserta jajaran hadir di Cianjur meninjau langsung situasi pasca gempa dan menjenguk korban luka yang sedang mendapat perawatan untuk memberikan dukungan semangat https://t.co/xgZAHoctc8,1
Gubernur Jawa Barat @ridwankamil  secara tegas meminta kepada semua masyarakat yang sedang berada di sekitar lokasi bencana Gempa Cianjur untuk tidak menjadikan lokasi sebagai ‘wisata’.Hmmm kebiasaan warga of Indonesia like Wakanda 🤔 https://t.co/5z8gfk6zmf,1
"Baznas (BAZIS) Kota Jakarta Selatan membuka penggalangan dana bantuan kemanusiaan untuk korban bencana Gempa Cianjur, Jawa Barat, yang terjadi pada 21 November 2022 lalu.   Penggalanan Dana ini dibuka mulai Selasa ini (22/11) sampai dengan 15 Desember 2022 mendatang. https://t.co/2Vq5HEEeXo",1
Cepat tanggap hadirkan aksi nyata! Demokrat salurkan bantuan kepada gempa cianjur! @AgusYudhoyono @PDemokrat @JatimDemokrat @EmilDardak https://t.co/JtAG7Amtil,1
Pemerintah tengah menyiapkan dua skema hunian yang disediakan untuk korban gempa Cianjur. #gempacianjur #savecianjur  https://t.co/hNs7wXeQ3a,1
"@rivaired @jalur5_ sebagai salah satu korban gempa di cianjur, tweet ini membuat sakit hati sih",-1
"Cianjur berduka, duka Indonesia. https://t.co/3jzD9Ci9h7 salurkan aksi kemanusiaan tuk korban bencana.  Aksi Peduli Gempa Cianjur, https://t.co/YAoBQqyn4h Salurkan Bantuan Perlengkapan Bayi dan Obat Obatan via @hasanahdotid https://t.co/p1zuVFPGur",1
"Bangun Dapur Umum, Relawan Door to Door Salurkan Bantuan Korban Gempa Cianjur https://t.co/IiYNjUbhMg #Terbaru #bangun #bantuan #berita https://t.co/2rVrnYvDQQ",1
BNPB menyoroti masih adanya warga korban gempa Cianjur yang melakukan pengungsian secara mandiri dengan mendirikan tenda dengan kualitas seadanya.  ⁦@BNPB_Indonesia⁩ #gempacianjur  https://t.co/gZI38sMtqq,1
"Pasca Gempa Cianjur, Jokowi Instruksikan Pembangunan Kembali Rumah Warga Anti Gempa https://t.co/ZkAw8c4iWO",1
BMKG mengungkapkan peluang gempa bumi akan terjadi di Kabupaten Cianjur akan terulang 20 tahun mendatang.  ⁦@InfoHumasBMKG⁩  https://t.co/knJFmnEBWR,1
Presiden Jokowi Tinjau Tempat Tinggal Sementara Pengungsi Gempa Cianjur https://t.co/6fxGjCClMC https://t.co/wE6DfqzJ8e,1
"#REPOST @infoseputarpolri with @get__repost__app   Hingga hari ini, Selasa (22/11) polisi terus berjibaku menolong korban gempa bumi di cianjur . #prayforcianjur  #doauntukcianjur  #polisipenolong  #polrihadiruntukmasyarakat  #polisi #polisipenolong  #polisikita #repostandroid https://t.co/iFgeYcdm4E",1
"Kapolri Tinjau Lokasi Gempa Bumi Cianjur, Pastikan Warga dapat Bantuan Maksimal https://t.co/h3scm1nf3D",1
Kementrian BUMN bersama @erickthohir melalui @bankbri_id langsung turun ke lokasi bencana gempa cianjur untuk memberikan bantuan kepada korban . . . #SatgasBencanaBUMN #BUMNUntukCianjur https://t.co/n1qjrjwvlY,1
"Segenap keluarga besar STIKes HOLISTIK mengucapkan turut berduka cita atas musibah gempa yang terjadi di Cianjur pada Senin, 21 November 2022. Semoga diberikan kekuatan dan ketabahan dalam menghadapi musibah ini. Aamiin yaa rabbal ‘aalamiin..  #PrayForCianjur https://t.co/SBZXtX9pAE",1
"Semoga tidak terus bertambah korban gempa Cianjur dsk, dan para korban luka, kehilangan tempat tinggal, dapat diatasi Pemda dan Pemerintah. Aamiin...",1
20 Apoteker Relawan Berangkat Ke Lokasi Bencana Gempa Cianjur https://t.co/6REk5p14nb,1
20 Apoteker Relawan Berangkat Ke Lokasi Bencana Gempa Cianjur https://t.co/2zCb2DkkbS,1
"Gempa Cianjur: Korban Meninggal 268 Orang, Ribuan Rumah Ambruk   . Turut Berduka Cita . BMKG . Kerasa . Jawa Barat . 5,6 SR . Innalillahi . Gempa . #Earthquake   https://t.co/lka8ebiWoy",1
"Dubes RI @cheppytw dan Keluarga besar KBRI Mexico City turut berduka cita atas musibah gempa bumi yang terjadi di Kabupaten Cianjur, Jawa Barat pada 21 November 2022.  @kemlu_ri #PrayForCianjur https://t.co/UKPRw2n4jv",1
Banten Kirim Logistik &amp  Sukarelawan Bantu Korban Gempa Cianjur #gempacianjur https://t.co/dqS8YpZ1S3,1
Pj Walikota Sampaikan Duka Mendalam untuk Korban Gempa Cianjur https://t.co/u0f2ZSlow5,1
"Keluarga Besar Rumah Tahanan Negara Kelas IIB Prabumulih mengucapkan :  Turut berduka cita atas terjadinya gempa bumi di Kabupaten Cianjur, Jawa Barat PRAY FOR CIANJUR  @kumhamsumsel @Rutan_Prabu #KumhamPasti #KumhamSumsel #RutanPrabumulihKeluarga https://t.co/6HwYzddmu5",1
Potret Jokowi Sedang Mengunjungi Korban Gempa Bumi Cianjur https://t.co/OFRnxkxLSQ https://t.co/2s62YYACOU,1
pray to cianjur semoga yg kena korban gempa di beri kesehatan dan kesabaran dlm menghadapi segala cobaan yg telah terjadi https://t.co/J253sF9BQ5,1
"Begini potret 142 bangunan sekolah di Kab. Cianjur rusak berat akibat gempa bumi berkekuatan 5,6 magnitudo.  Via @detik_jabar https://t.co/9ai94XPajs",1
"Turut berduka cita atas musibah gempa bumi di Cianjur  Doa kami untuk seluruh Korban Gempa Bumi di Cianjur, semoga keluarga, rekan dan saudara kita di Cianjur dalam keadaan aman dan sehat. Cepat pulih dan dapat kembali beraktivitas, Aamiin https://t.co/fF6rIvQhR1",1
Top 5 Hits 22 November 2022: Update Korban Meninggal Dunia Gempa Bumi Cianjur Paling Banyak Dicari https://t.co/tyICZTlxIg,-1
"Do'a untuk Cianjur, doa terbaik untuk semua saudara terdampak bencana gempa bumi. Semoga senantiasa saudara kami diberikan kesabaran dan kekuatan.  #jaringanindonesiapositif  #focalpointjip  #doauntukcianjur https://t.co/49eC94tGqq",1
"*Inna lillahi Wa Inna Ilaihi Raji'un*  Keluarga Besar  Balai Besar Pelatihan Peternakan - Batu menyampaikan turut berduka cita atas gempa bumi yang terjadi di Cianjur, Jawa Barat.  Pada hari Senin, 21 November 2022 pukul 13.21 WIB. https://t.co/X1BNebvYpM",1
"BNPB Ungkap Alasan Mengapa Banyak Korban Jiwa Anak-anak pada Gempa Bumi Cianjur, Ini Alasannya https://t.co/pT4n4VN3A5",1
PKS Instruksikan Wakil Rakyatnya Sisihkan Gaji untuk Korban Gempa Cianjur  Selengkapnya : https://t.co/Q27HOShSnh  https://t.co/dKm2c44HA2  https://t.co/PWHV7bhqDt,1
"PMI Se-Jawa Barat dan PMI Se-DKI Jakarta terus mengerahkan personilnya untuk terus melakukan upaya pencarian dan penyelamatan terhadap masyarakat yang menjadi korban bencana alam gempa bumi di wilayah Kab. Cianjur, Jawa Barat. Senin, (21/11). Cc @RadioElshinta @SonoraFM92 https://t.co/r7IIkl6ziR",1
Masih shock ternyata salah satu keluarga aku korban gempa cianjur juga 😭,1
Badan Geologi ESDM Tetapkan Cianjur Jadi Daerah Rawan Gempa Level Tinggi https://t.co/p0nnCpXwOM,1
"Sudah lah pak membuai org dgn janji ! Lah janji utk korban gempa palu dan Donggala sampai skrg blm selesai... Kasihanilah sdr kami 🙏 ✍️ Kpd Media"" ... Tolong kasih berita lengkap, krn duit yg diberikan untuk Cianjur adalah duit negara dan kebetulan dari tangan dia🙏 https://t.co/xMbxV8ISZw""",-1
Pengungsi Gempa di Nagrag Cianjur Butuh Obat-obatan dan Penerangan https://t.co/yNPnLvmsGM,1
"Kampung Garung, Desa Cirumput, Cugenang, Kabupaten Cianjur menjadi salah satu desa yang terdampak gempa  https://t.co/dyQt5Xp5Ye",1
"Gempa Cianjur, bikin gw teringat sama Gempa Jogja beberapa tahun lalu. Saat itu gw masih SMA, sesaat habis gempa, semua jaringan komunikasi keputus. Gw dan keluarga panik karena semua saudara gak ada yg bisa dihubungin. Gw mantengin berita di TV sembari ngeredial nomer saudara2.",1
"Korban Gempa Cianjur Masih Trauma, Pilih Dirawat di Tenda Darurat di RSUD Cianjur https://t.co/h75WZMCU1P https://t.co/hY8DPIi5Hj",1
Pegawai Bapenda Jabar dan Samsat Urunan untuk Korban Gempa Cianjur https://t.co/0xPrhOrRCx,1
"Update donasi 23/11/2022 06.00 NCTzen dan Wayzenni Indonesia Bantu Korban Bencana Gempa Cianjur, Jawa Barat.  Total Uang Masuk : Rp 9.512.440  Target Donasi : Rp 10.000.000  Berbagi melalui :  QRIS : https://t.co/fyO5EqWMfv Kitabisa : https://t.co/r8fjhh8mkm| https://t.co/thHyAV0Pjz",1
"Update Korban Gempa Cianjur: 58.362 Mengungsi, 22.198 Rumah Rusak https://t.co/uPZD2dluPI",1
21 November 2022. Gempa berkekuatan 5.6 skala mag melanda Cianjur dan sekitarnya sekira pukul 13.21 WIB. Puluhan jiwa meninggal dunia dan ratusan lainnya mengalami luka-luka akibat gempa tersebut. PMI Jateng mengajak masyarakat untuk berbagi bersama melalui PMI Jateng Peduli https://t.co/ZpDG2oRt8n,1
"Sukabumi, Cianjur, Lembang, Purwakarta, dan Bandung merupakan kawasan rawan gempa. https://t.co/X0tILRixJZ",-1
Inpres @jokowi terkait penanganan gempa Cianjur.  #PrayForCianjur https://t.co/GcRUIlrKp1,1
"5 berita populer nusantara mulai dari kericuhan Munas Hipmi di Solo, Jawa Tengah hingga update korban gempa di Cianjur yang mayortias anak-anak. https://t.co/5IbOTcopqJ",1
"Update Gempa Cianjur 268 meninggal, 151 dlm pencarian, 1083 luka-luka, 58.362 mengungsi. BNPB mendata 6570 rumah rusak berat, 2071 rusak sedang &amp  12.641 rusak ringan. 12 kecamatan di Cianjur yg terdampak gempa 5,6. Sholat ghaib dilakukan ratusan warga Gaza untuk gempa Cianjur🇮🇩🇸🇩 https://t.co/YUZ5eNQl5K",1
daritadi ni akin bmkg ingponya cianjur gempa mulu,-1
Dirjenpas Akan Perbaiki Tembok Lapas yang Rusak Akibat Gempa Cianjur https://t.co/IGaP9ZYb87,1
@energitodayID @pertamina @KemenBUMN Kedatangan Pertamina untuk meringankan beban masyarakat Cianjur yang terkena dampak gempa,1
"Asslkm bgi teman ku mohon bntuan kemanusian nya saya atas nama neneng dari kmpung ciwalen rt 01/09 desa ciwalen kc,warung kondang kb,cianjur jawa barat yg lgi kena bencana alam gempa bumi mohon bantuan nya untuk temen smua https://t.co/uvdODy1z0n",1
"Kisah Korban Selamat Gempa Cianjur, Tiba tiba Tembok Ambruk https://t.co/rOAspKnRGQ",1
"ka jii @javjinandra daerah aku cianjur kena dampak gempa darat kemaren huhu jadi banyak info hoax yang bikin takut, dan kadang masih banyak gempa susulan😭😭☹️",-1
"Topik IM Pagi (23/11/2022), Pro 3 RRI: 1. Grk Cpt Tngni Korban Gempa Cianjur 2. Potensi Gempa Susulan Di Cianjur, Perlu Kwspdan 3. Pesan Presiden Jokowi untK Capres-cawapres 4.Ada Indikasi Judi Online, PPATK Hntkn Trnsksi 242 Rekening 5. Penangnn Polio di Pidie Aceh #IMPagi  -Iva",1
PKS Instruksikan Wakil Rakyatnya Sisihkan Gaji untuk Korban Gempa Cianjur https://t.co/Npn5dB7t7R,1
"Jiwa raga kami demi Kemanusiaan Untuk Cianjur  #SigapTerdampakBencana Potret personel Korps Bhayangkara saat menyelamatkan anak kecil korban bencana alam gempa bumi di Cianjur, Jawa Barat, Senin (21/22). https://t.co/GpP1vsn35p",1
#EkonomiRITumbuhTinggi  Wapres RI kyai ma'ruf Amin Minta agar pengungsi korban gempa Cianjur mendapat hunian layak sementara  #EkonomiRITumbuhTinggi https://t.co/1UV5aDsfHs,1
"Tempuh Perjalanan Bermobil, Presiden Joko Widodo Pastikan Akses Jalan yang Tertutup Akibat Gempa Cianjur Sudah Terbuka https://t.co/iypesktdc0",1
"Rumah Hancur Kena Gempa Cianjur, Bocah Farid Bersyukur Keluarga Selamat https://t.co/lROE3TK6hI",1
Jazuli instruksikan aleg PKS potong gaji membantu korban gempa Cianjur https://t.co/iXEnKXHA1n,1
Pemerintah gerak cepat Tangani dampak bencana gempa bumi Cianjur  #EkonomiRITumbuhTinggi https://t.co/un11HxJ2ER,1
Legislator Ini Potong Gaji Bantu Korban Gempa Cianjur https://t.co/5izcSmz7VA | @JazuliJuwaini,1
Presiden Jokowi menggunakan jalur darat ke Cianjur pastikan penanganan korban gempa  #EkonomiRITumbuhTinggi https://t.co/FfFAa4Kdoe,1
"Kepolisian Negara Republik Indonesia  Mengucapkan   Pray For Cianjur  Turut berduka cita atas bencana gempa di Cianjur, Jawa Barat.   Polri #SigapTerdampakBencana, Jiwa raga kami demi Kemanusiaan Untuk Cianjur https://t.co/GCHImAR7pj",1
"Gempa Susulan Kembali Guncang Cianjur, Kekuatannya Capai M2,8 https://t.co/xKW93tvXFL",1
Aksi Fraksi PKS Potong Gaji Bantu Korban Gempa Cianjur https://t.co/vvx0SYHaQY,1
Wasekjen Demokrat soal Bencana Gempa Cianjur: Perintah AHY Langsung Bantu Korban https://t.co/rCThxAlKsN,1
Inpres @jokowi terkait penanganan gempa Cianjur.  #PrayForCianjur https://t.co/s2kpvytoOL,1
"Terjadinya musibah gempa bumi di Cianjur Jawa Barat, menteri BUMN Erick Thohir memerintahkan kepada #SatgasBencanaBUMN yayasan BUMN untuk bergerak cepat membantu penanganan jangka pendek dan jangka panjangnya bagi warga yang terdampak gempa bumi. @erickthohir  #BangkitBersamaET https://t.co/fy8DiSesIC",1
Trauma Pelajar Usai Gempa Cianjur dan Sistem Belajar Diubah 3 Pola https://t.co/cBBNXtm3jG #TempoTekno,-1
[Tempat] RS Cibabat dapat menjadi Tempat Penanganan korban gempa Cianjur https://t.co/0xn4AV5PoK #Video #bisa #cianjur #cibabat https://t.co/TOga32fZ30,1
"Muhaimin Iskandar, @cakimiNOW Terjunkan Tim Khusus Bantu Korban Gempa Bumi Cianjur https://t.co/gfFqdao5Ig",1
"PMI Se-Jawa Barat dan PMI DKI Jakarta terus mengerahkan personilnya untuk terus melakukan upaya pencarian dan penyelamatan terhadap masyarakat yang menjadi korban bencana alam gempa bumi di wilayah Kab. Cianjur, Jabar. Senin, (21/11). via @HerryFTanjung https://t.co/ZXsa7wAeH3",1
"Korban Meninggal Gempa Cianjur, BNPB Sebut Mencapai 268 Orang https://t.co/qMmh7gxngJ #TempoVideo",1
@moviemenfes Mau titip ini barang kali ada yang mau ikut berdonasi buat warga cianjur yg terkena dampak bencana gempa🙏 https://t.co/o2wpRio0h5,1
"Ke daerah kab bandung ga berasa, ngeri nya daerah sumedang garut jg kan rawan gempa tektonik yg cetek gini. Kita waspada saja, sambil Doa &amp  Saling bantu ke Cianjur. Jawa barat yaudah emang rawan gempa.  Doa bersama saja kuy",1
"@tvOneNews Kepala BNPB Letjen TNI Suharyanto mengatakan ketika terjadi gempa pada Senin (21/11/2022) pukul 13.21 WIB, itu merupakan jadwal anak-anak di Cianjur, mengaji..   Ya Rabb, Inna lillahi wa inna ilaihi raji'un",1
gempa-cianjur-pemerintah-bantu-untuk-rumah-rusak-berat-rp50-juta https://t.co/i2vcj0VWo9,1
"Gempa di Cianjur, Pengurus Cabang Nahdlatul Ulama (PCNU) Cilacap siap mengirim relawan untuk membantu para korban.  Baca selengkapnya disini&gt &gt  https://t.co/7ulAdiL9ez",1
BNPB Sebut 151 Orang Masih Hilang Akibat Gempa Cianjur https://t.co/I0q2u6JC6l,1
Evakuasi Korban Gempa Cianjur | Liputan 6 Bandung https://t.co/EcRPX51WMC,1
"Gempa Cianjur, Ancaman Gempa Jakarta, dan Megathrust Magnitudo 8,9 https://t.co/2IFR0MD62d via @YouTube",-1
Segenap Keluarga Besar Lembaga Pemasyarakatan Kelas IIB Polewali Kanwil Kemenkumham Sulbar turut berduka cita atas musibah gempa bumi yang menimpa saudara kami di Cianjur dan sekitarnya. https://t.co/w5id8Zk4EO,1
Tanah Robek Hingga 30 Km Akibat Pergerakan Sesar yang Picu Gempa Cianjur https://t.co/63kRhuHVJS,1
"https://t.co/gRPWGAsqGh, JAKARTA -- Gempa bumi berkekuatan 5,6 SR guncang Cianjur, Jawa Barat, Senin (21/11/2022). Ketua Fraksi PKS DPR RI. Menyikapi peristiwa tersebut, Ketua Fraksi PKS DPR RI, Jazuli Juwaini, menginstruksikan Anggota Legislatif PKS https://t.co/EeiYPrkOcF",1
"Data Terbaru Korban Gempa Cianjur: 151 Orang Masih Hilang, 268 Meninggal, 58.362 Warga Mengungsi https://t.co/RNoQBwwNdw https://t.co/FPoIfXoI6j",1
401.KAKANWIL A YUSPAHRUDDIN KEMENKUMHAM JATENG: Warga Binaan dan Petugas Rutan Salatiga Laksanakan Doa Bersama Korban Gempa Cianjur https://t.co/Vtr1AKmKCk,1
Ketum PKB dan Ribuan Warga DKI Doakan Korban Gempa Cianjur https://t.co/QgJKG7BgMZ,1
Pemprov Banten Berangkatkan Bantuan Untuk Korban Bencana Gempa Cianjur https://t.co/b9I64H0g6P,1
"Kapolda Jawa Timur beserta staff dan jajaran   Mengucapkan   Turut Berduka Cita Atas musibah gempa dengan magnitudo (M) 5,6 di Wilayah Cianjur  #cianjur https://t.co/Y3CIOCtnQZ",1
"CIANJUR,-Bantuan untuk korban gempa Cianjur terus berdatangan dari berbagai kalangan termasuk organisasi kemasyarakatan dan partai politik. Salah satunya dari Pimpinan Daerah Kolektif (PDK) Kosgoro 57 Provinsi Jawa Barat. Sumbangan  https://t.co/XCKBegoHdZ",1
"Korban Gempa Cianjur 268 Jiwa, Ini Sejarah Gempa Merusak di Cianjur-Sukabumi https://t.co/IM69KxkamV #TempoTekno",1
pray for cianjur mari kita sisihkan donasi buat saudara2 kita tuk membantu korban gempa cianjur. https://t.co/WeWysvGRiC,1
"KELUARGA BESAR KOREM 163/WIRA SATYA PRAY FOR CIANJUR Mari doakan saudara kita di Cianjur yang tertimpa musibah gempa dengan kekuatan M 5,6 semoga diberikan kesabaran dan cepat pulih kembali, Aamiin Ya Robbal'alamiin..."". https://t.co/DQGLiIIL8S""",1
"Bantuan Dari Kapolri Untuk Korban Gempa Cianjur   #SigapTerdampakBencana Kapolri melalui Kadiv Humas Polri terjun langsung menyerahkan bantuan untuk para korban bencana alam gempa bumi di Cianjur, Jawa Barat, Selasa (22/11).  @DivHumas_Polri https://t.co/pL9bSVnK9N",1
Duka Indonesia 268 Orang Meninggal Akibat Gempa Di Cianjur https://t.co/Z18ge8XgPH,1
"Akibat Gempa di Cianjur, 22.198 Rumah Rusak, 151 Orang Dilaporkan Hilang https://t.co/HUGRu7Fidf",1
Putin Sampaikan Belasungkawa dan Simpati Atas Gempa Cianjur https://t.co/uJFeghtT3F,1
"Jiwa raga kami demi Kemanusiaan Untuk Cianjur  #SigapTerdampakBencana Potret personel Korps Bhayangkara saat menyelamatkan anak kecil korban bencana alam gempa bumi di Cianjur, Jawa Barat, Senin (21/22). https://t.co/4w8lVhLWAQ",1
MBZ menyampaikan ucapan bela sungkawa atas bencana gempa bumi di Kabupaten Cianjur. https://t.co/VodgbmUGhz,1
"Presiden Jokowi Temui Pengungsi Korban Gempa di Cianjur, 22 November 2022 https://t.co/MboBgBZ44G",1
"💚 Jahat banget Ya Allah 😢.  Alhamdulillah orangnya udah ketemu. Dia ngomong gini Mampus *njing semoga semua daerah Cianjur terkena Gempa, maunya di kasih Hujan api aja"" https://t.co/EJsjfbEyX4""",-1
Bawaslu menyampaikan duka mendalam dan doa terbaik untuk semua korban gempa bumi Cianjur. Semoga keluarga korban diberikan kesabaran dan ketabahan. https://t.co/OrkcelN6tp,1
"Presiden Joko Widodo menggelar rapat terbatas bersama jajarannya di lokasi pengungsian korban gempa Cianjur di Taman Prawatasari, Cianjur, 22/11. Dalam rapat mendadak tersebut, Presiden antara lain menginstruksikan jajarannya untuk segera membuka daerah terisolasi. https://t.co/YJ5gXjEhvv",1
PLN Berhasil Pulihkan Listrik Wilayah Terdampak Gempa Cianjur https://t.co/loR0jsZej5,1
"Pemkab Tulungagung bersama Miss Universe Switzerland, Alia Guidi menggelar aksi penggalangan dana bagi korban gempa di Cianjur, Jawa Barat.  Baca: https://t.co/DCaA1VxCx0...... https://t.co/UUgvQx3eB6",1
Kapolri Serap Aspirasi Masyarakat yang Jadi Korban Gempa Bumi Cianjur https://t.co/BwHu32aZES,1
"PERSIT KARTIKA CHANDRA KOORCAB REM 163 PD IX/UDAYANA PRAY FOR CIANJUR Mari doakan saudara kita di Cianjur yang tertimpa musibah gempa dengan kekuatan M 5,6 semoga diberikan kesabaran dan cepat pulih kembali, Aamiin Ya Robbal'alamiin..."". https://t.co/TIjGceA6yH""",1
"Suasana haru bercampur cemas menyelimuti orang-orang yang menanti kabar penyelamatan anggota keluarga mereka yang menjadi korban gempa di Cianjur, Jabar. #Metropolitan #AdadiKompas  https://t.co/rq1KhIJi6x",1
BMKG mengumumkan adanya pesan suara yang menyampaikan informasi palsu terkait gempa bumi. Pesan suara yang gempa besar di Waduk Cirata Cianjur dipastikan hoax. https://t.co/a8TKG3IQ7E,-1
"Sempat Hilang Usai Gempa Cianjur, Begini Kondisi Adik Dinar Candy Usai Ditemukan: Teteng mengaku merasakan gempa sebanyak 6 kali. Gempa itu membuat banyak rumah di kampungnya hancur. https://t.co/xOS5mtgbCz",1
