full_text,label,joined_text
"['sahabatdaqu', 'bencana', 'landa', 'wilayah', 'salah', 'gempa', 'cianjur', 'sejati', 'salah', 'ikhtiar', 'laku', 'hindar', 'bencana', 'sedekah', 'klik']",1.0,sahabatdaqu bencana landa wilayah salah gempa cianjur sejati salah ikhtiar laku hindar bencana sedekah klik
"['kuat', 'bgt', 'liat', 'video', 'korban', 'gempa', 'cianjur', 'gendong', 'jenazah', 'anak', 'muka', 'linglung', 'allah']",1.0,kuat bgt liat video korban gempa cianjur gendong jenazah anak muka linglung allah
"['lahir', 'pas', 'gempa', 'gempita', 'lahir', 'pas', 'sunam', 'sunamita', 'lahir', 'pas', 'banjir', 'banjirita', 'lahir', 'pas', 'duit', 'rungsingta', 'lahir', 'pas', 'nyanyi', 'kamar', 'mandi', 'bunda', 'rita', 'hatur', 'nuhun', 'gubernur', 'ridwankamil', 'perhati', 'warga', 'cianjur']",1.0,lahir pas gempa gempita lahir pas sunam sunamita lahir pas banjir banjirita lahir pas duit rungsingta lahir pas nyanyi kamar mandi bunda rita hatur nuhun gubernur ridwankamil perhati warga cianjur
"['trauma', 'banget', 'ngebekas', 'gempa', 'cianjur', 'kemarin', 'goyang', 'parno', 'banget', 'tambah', 'tetangga', 'samping', 'rumah', 'roboh', 'halaman', 'nyaa']",1.0,trauma banget ngebekas gempa cianjur kemarin goyang parno banget tambah tetangga samping rumah roboh halaman nyaa
"['data', 'kini', 'korban', 'gempa', 'cianjur']",1.0,data kini korban gempa cianjur
"['sekolah', 'rusak', 'akibat', 'gempa', 'cianjur', 'disdik', 'jawa', 'barat', 'pasti', 'kbm', 'jalan']",1.0,sekolah rusak akibat gempa cianjur disdik jawa barat pasti kbm jalan
"['lokasi', 'bencana', 'habis', 'stok', 'kain', 'kafan', 'pemulasaran', 'jenazah', 'korban', 'gempa', 'cianjur', 'jabar', 'jenazah', 'paksa', 'diam', 'halaman', 'posko', 'darurat']",-1.0,lokasi bencana habis stok kain kafan pemulasaran jenazah korban gempa cianjur jabar jenazah paksa diam halaman posko darurat
"['nasib', 'hamil', 'desa', 'benjot', 'nahas', 'gempa', 'bumi', 'cianjur', 'indri', 'timbun', 'jajan', 'warung', 'tribunnews']",-1.0,nasib hamil desa benjot nahas gempa bumi cianjur indri timbun jajan warung tribunnews
"['infobmkg', 'daerah', 'pusat', 'kota', 'cianjur', 'sentuh', 'bantu', 'info', 'rekan', 'alumni', 'organisasi', 'mahasiswa', 'kampus', 'dampak', 'gempa']",-1.0,infobmkg daerah pusat kota cianjur sentuh bantu info rekan alumni organisasi mahasiswa kampus dampak gempa
"['jazuli', 'juwaini', 'instruksi', 'anggota', 'fraksi', 'pks', 'dpr', 'sisih', 'gaji', 'korban', 'gempacianjur']",1.0,jazuli juwaini instruksi anggota fraksi pks dpr sisih gaji korban gempacianjur
"['putin', 'belasungkawa', 'presiden', 'jokowi', 'kait', 'insiden', 'gempa', 'cianjur', 'duka', 'jatuh', 'korban', 'jiwa', 'akibat', 'bencana']",1.0,putin belasungkawa presiden jokowi kait insiden gempa cianjur duka jatuh korban jiwa akibat bencana
"['tulis', 'pray', 'for', 'cianjur', 'sebar', 'video', 'gempa', 'donggala']",-1.0,tulis pray for cianjur sebar video gempa donggala
"['bsmi', 'peduli', 'cianjur', 'bsmi', 'diri', 'posko', 'peduli', 'gempa', 'cianjur', 'rumah', 'sakit', 'lapang', 'bantu', 'medis', 'korban', 'gempa', 'dukung', 'tim', 'rawan', 'bsmi', 'mari', 'bantu', 'warga', 'cianjur', 'salam', 'manusia', 'batas', 'care', 'for', 'life', 'selamat', 'jiwa', 'sambung', 'ribu']",1.0,bsmi peduli cianjur bsmi diri posko peduli gempa cianjur rumah sakit lapang bantu medis korban gempa dukung tim rawan bsmi mari bantu warga cianjur salam manusia batas care for life selamat jiwa sambung ribu
"['presiden', 'mbz', 'kirim', 'bantu', 'makan', 'korban', 'gempa', 'cianjur']",1.0,presiden mbz kirim bantu makan korban gempa cianjur
"['gempa', 'cianjur', 'milik', 'daya', 'rusakbesar']",1.0,gempa cianjur milik daya rusakbesar
"['gus', 'muhaimin', 'seru', 'kader', 'pkb', 'bantu', 'korban', 'gempa', 'cianjur', 'bagusmuhaiminsampang', 'cakiminow', 'halimiskandarnu', 'dpppkb', 'fraksipkb', 'imansyukri', 'emhasanuddin', 'dpwpkbjatim', 'ariasharie', 'enterdeeper', 'mifthulmunir', 'mujibmdr', 'hamiideldino']",1.0,gus muhaimin seru kader pkb bantu korban gempa cianjur bagusmuhaiminsampang cakiminow halimiskandarnu dpppkb fraksipkb imansyukri emhasanuddin dpwpkbjatim ariasharie enterdeeper mifthulmunir mujibmdr hamiideldino
"['lokasi', 'bencana', 'habis', 'stok', 'kain', 'kafan', 'pemulasaran', 'jenazah', 'korban', 'gempa', 'cianjur', 'jabar', 'jenazah', 'paksa', 'diam', 'halaman', 'posko', 'darurat']",-1.0,lokasi bencana habis stok kain kafan pemulasaran jenazah korban gempa cianjur jabar jenazah paksa diam halaman posko darurat
"['ireezne', 'barusan', 'baca', 'cianjur', 'kena', 'gempa', 'sampek', 'kali', 'rem', 'banget', 'mama', 'stay', 'safe', 'moga', 'mama', 'keluarga']",1.0,ireezne barusan baca cianjur kena gempa sampek kali rem banget mama stay safe moga mama keluarga
"['pvmbg', 'sebab', 'daya', 'rusak', 'gempa', 'cianjur', 'tempotekno']",1.0,pvmbg sebab daya rusak gempa cianjur tempotekno
"['pray', 'for', 'cianjur', 'duka', 'cita', 'musibah', 'gempa', 'cianjur', 'pandi', 'banggapakaiid', 'domainid', 'domainindonesia', 'prayforcianjur']",1.0,pray for cianjur duka cita musibah gempa cianjur pandi banggapakaiid domainid domainindonesia prayforcianjur
"['polri', 'korban', 'gempa', 'bumi', 'cianjur', 'persen', 'identifikasi']",1.0,polri korban gempa bumi cianjur persen identifikasi
"['jabat', 'utama', 'pju', 'mabes', 'polri', 'ketua', 'bhayangkari', 'serta', 'jajar', 'hadir', 'cianjur', 'tinjau', 'langsung', 'situasi', 'pasca', 'gempa', 'jenguk', 'korban', 'luka', 'awat', 'dukung', 'semangat']",1.0,jabat utama pju mabes polri ketua bhayangkari serta jajar hadir cianjur tinjau langsung situasi pasca gempa jenguk korban luka awat dukung semangat
"['gubernur', 'jawa', 'barat', 'ridwankamil', 'masyarakat', 'lokasi', 'bencana', 'gempa', 'cianjur', 'jadi', 'lokasi', 'wisata', 'hmmm', 'biasa', 'warga', 'of', 'indonesia', 'like', 'wakanda']",1.0,gubernur jawa barat ridwankamil masyarakat lokasi bencana gempa cianjur jadi lokasi wisata hmmm biasa warga of indonesia like wakanda
"['baznas', 'bazis', 'kota', 'jakarta', 'selatan', 'buka', 'galang', 'dana', 'bantu', 'manusia', 'korban', 'bencana', 'gempa', 'cianjur', 'jawa', 'barat', 'november', 'galan', 'dana', 'buka', 'selasa', 'desember']",1.0,baznas bazis kota jakarta selatan buka galang dana bantu manusia korban bencana gempa cianjur jawa barat november galan dana buka selasa desember
"['cepat', 'tanggap', 'hadir', 'aksi', 'nyata', 'demokrat', 'salur', 'bantu', 'gempa', 'cianjur', 'agusyudhoyono', 'pdemokrat', 'jatimdemokrat', 'emildardak']",1.0,cepat tanggap hadir aksi nyata demokrat salur bantu gempa cianjur agusyudhoyono pdemokrat jatimdemokrat emildardak
"['perintah', 'skema', 'huni', 'sedia', 'korban', 'gempa', 'cianjur', 'gempacianjur', 'savecianjur']",1.0,perintah skema huni sedia korban gempa cianjur gempacianjur savecianjur
"['rivaired', 'jalur', 'salah', 'korban', 'gempa', 'cianjur', 'tweet', 'sakit', 'hati']",-1.0,rivaired jalur salah korban gempa cianjur tweet sakit hati
"['cianjur', 'duka', 'duka', 'indonesia', 'salur', 'aksi', 'manusia', 'tuk', 'korban', 'bencana', 'aksi', 'peduli', 'gempa', 'cianjur', 'salur', 'bantu', 'lengkap', 'bayi', 'obat', 'obat', 'via', 'hasanahdotid']",1.0,cianjur duka duka indonesia salur aksi manusia tuk korban bencana aksi peduli gempa cianjur salur bantu lengkap bayi obat obat via hasanahdotid
"['bangun', 'dapur', 'rawan', 'door', 'to', 'door', 'salur', 'bantu', 'korban', 'gempa', 'cianjur', 'baru', 'bangun', 'bantu', 'berita']",1.0,bangun dapur rawan door to door salur bantu korban gempa cianjur baru bangun bantu berita
"['bnpb', 'sorot', 'warga', 'korban', 'gempa', 'cianjur', 'ungsi', 'mandiri', 'diri', 'tenda', 'kualitas', 'ada', 'bnpbindonesia', 'gempacianjur']",1.0,bnpb sorot warga korban gempa cianjur ungsi mandiri diri tenda kualitas ada bnpbindonesia gempacianjur
"['pasca', 'gempa', 'cianjur', 'jokowi', 'instruksi', 'bangun', 'rumah', 'warga', 'antigempa']",1.0,pasca gempa cianjur jokowi instruksi bangun rumah warga antigempa
"['bmkg', 'peluang', 'gempa', 'bumi', 'kabupaten', 'cianjur', 'ulang', 'infohumasbmkg']",1.0,bmkg peluang gempa bumi kabupaten cianjur ulang infohumasbmkg
"['presiden', 'jokowi', 'tinjau', 'tinggal', 'ungsi', 'gempa', 'cianjur']",1.0,presiden jokowi tinjau tinggal ungsi gempa cianjur
"['repost', 'infoseputarpolri', 'with', 'getrepostapp', 'selasa', 'polisi', 'jibaku', 'tolong', 'korban', 'gempa', 'bumi', 'cianjur', 'prayforcianjur', 'doauntukcianjur', 'polisipenolong', 'polrihadiruntukmasyarakat', 'polisi', 'polisipenolong', 'polisikita', 'repostandroid']",1.0,repost infoseputarpolri with getrepostapp selasa polisi jibaku tolong korban gempa bumi cianjur prayforcianjur doauntukcianjur polisipenolong polrihadiruntukmasyarakat polisi polisipenolong polisikita repostandroid
"['kapolri', 'tinjau', 'lokasi', 'gempa', 'bumi', 'cianjur', 'pasti', 'warga', 'bantu', 'maksimal']",1.0,kapolri tinjau lokasi gempa bumi cianjur pasti warga bantu maksimal
"['tri', 'bumn', 'erickthohir', 'bankbriid', 'langsung', 'turun', 'lokasi', 'bencana', 'gempa', 'cianjur', 'bantu', 'korban', 'satgasbencanabumn', 'bumnuntukcianjur']",1.0,tri bumn erickthohir bankbriid langsung turun lokasi bencana gempa cianjur bantu korban satgasbencanabumn bumnuntukcianjur
"['segenap', 'keluarga', 'stikes', 'holistik', 'duka', 'cita', 'musibah', 'gempa', 'cianjur', 'senin', 'november', 'moga', 'kuat', 'tabah', 'hadap', 'musibah', 'aamiin', 'yaa', 'rabbal', 'aalamiin', 'prayforcianjur']",1.0,segenap keluarga stikes holistik duka cita musibah gempa cianjur senin november moga kuat tabah hadap musibah aamiin yaa rabbal aalamiin prayforcianjur
"['moga', 'tambah', 'korban', 'gempa', 'cianjur', 'dsk', 'korban', 'luka', 'hilang', 'tinggal', 'atas', 'pemda', 'perintah', 'aamiin']",1.0,moga tambah korban gempa cianjur dsk korban luka hilang tinggal atas pemda perintah aamiin
"['apoteker', 'rawan', 'berangkat', 'lokasi', 'bencana', 'gempacianjur']",1.0,apoteker rawan berangkat lokasi bencana gempacianjur
"['apoteker', 'rawan', 'berangkat', 'lokasi', 'bencana', 'gempacianjur']",1.0,apoteker rawan berangkat lokasi bencana gempacianjur
"['gempa', 'cianjur', 'korban', 'tinggal', 'orang', 'ribu', 'rumah', 'ambruk', 'duka', 'cita', 'bmkg', 'rasa', 'jawa', 'barat', 'sr', 'innalillahi', 'gempa', 'earthquake']",1.0,gempa cianjur korban tinggal orang ribu rumah ambruk duka cita bmkg rasa jawa barat sr innalillahi gempa earthquake
"['dubes', 'ri', 'cheppytw', 'keluarga', 'kbri', 'mexico', 'city', 'duka', 'cita', 'musibah', 'gempa', 'bumi', 'kabupaten', 'cianjur', 'jawa', 'barat', 'november', 'kemluri', 'prayforcianjur']",1.0,dubes ri cheppytw keluarga kbri mexico city duka cita musibah gempa bumi kabupaten cianjur jawa barat november kemluri prayforcianjur
"['banten', 'kirim', 'logistik', 'sukarelawan', 'bantu', 'korban', 'gempa', 'cianjur', 'gempacianjur']",1.0,banten kirim logistik sukarelawan bantu korban gempa cianjur gempacianjur
"['pj', 'walikota', 'duka', 'dalam', 'korban', 'gempa', 'cianjur']",1.0,pj walikota duka dalam korban gempa cianjur
"['keluarga', 'rumah', 'tahan', 'negara', 'kelas', 'iib', 'prabumulih', 'duka', 'cita', 'gempa', 'bumi', 'kabupaten', 'cianjur', 'jawa', 'barat', 'pray', 'for', 'cianjur', 'kumhamsumsel', 'rutanprabu', 'kumhampasti', 'kumhamsumsel', 'rutanprabumulihkeluarga']",1.0,keluarga rumah tahan negara kelas iib prabumulih duka cita gempa bumi kabupaten cianjur jawa barat pray for cianjur kumhamsumsel rutanprabu kumhampasti kumhamsumsel rutanprabumulihkeluarga
"['potret', 'jokowi', 'unjung', 'korban', 'gempa', 'bumi', 'cianjur']",1.0,potret jokowi unjung korban gempa bumi cianjur
"['pray', 'to', 'cianjur', 'moga', 'kena', 'korban', 'gempa', 'sehat', 'sabar', 'dlm', 'hadap', 'coba']",1.0,pray to cianjur moga kena korban gempa sehat sabar dlm hadap coba
"['potret', 'bangun', 'sekolah', 'kab', 'cianjur', 'rusak', 'berat', 'akibat', 'gempa', 'bumi', 'kuat', 'magnitudo', 'via', 'detikjabar']",1.0,potret bangun sekolah kab cianjur rusak berat akibat gempa bumi kuat magnitudo via detikjabar
"['duka', 'cita', 'musibah', 'gempa', 'bumi', 'cianjur', 'doa', 'korban', 'gempa', 'bumi', 'cianjur', 'moga', 'keluarga', 'rekan', 'saudara', 'cianjur', 'aman', 'sehat', 'cepat', 'pulih', 'aktivitas', 'aamiin']",1.0,duka cita musibah gempa bumi cianjur doa korban gempa bumi cianjur moga keluarga rekan saudara cianjur aman sehat cepat pulih aktivitas aamiin
"['top', 'hits', 'november', 'update', 'korban', 'tinggal', 'dunia', 'gempa', 'bumi', 'cianjur', 'cari']",-1.0,top hits november update korban tinggal dunia gempa bumi cianjur cari
"['doa', 'cianjur', 'doaterbaik', 'saudara', 'dampak', 'bencanagempa', 'bumi', 'moga', 'senantiasa', 'saudara', 'sabar', 'kuat', 'jaringanindonesiapositif', 'focalpointjip', 'doauntukcianjur']",1.0,doa cianjur doaterbaik saudara dampak bencanagempa bumi moga senantiasa saudara sabar kuat jaringanindonesiapositif focalpointjip doauntukcianjur
"['inna', 'lillahi', 'wa', 'inna', 'ilaihi', 'rajiun', 'keluarga', 'balai', 'latih', 'terna', 'batu', 'duka', 'cita', 'gempa', 'bumi', 'cianjur', 'jawa', 'barat', 'senin', 'november', 'wib']",1.0,inna lillahi wa inna ilaihi rajiun keluarga balai latih terna batu duka cita gempa bumi cianjur jawa barat senin november wib
"['bnpb', 'alas', 'korban', 'jiwa', 'anakanak', 'gempa', 'bumi', 'cianjur', 'alas']",1.0,bnpb alas korban jiwa anakanak gempa bumi cianjur alas
"['pks', 'instruksi', 'wakil', 'rakyat', 'sisih', 'gaji', 'korban', 'gempa', 'cianjur', 'lengkap']",1.0,pks instruksi wakil rakyat sisih gaji korban gempa cianjur lengkap
"['pmi', 'sejawa', 'barat', 'pmi', 'sedki', 'jakarta', 'kerah', 'personilnya', 'upaya', 'cari', 'selamat', 'masyarakat', 'korban', 'bencana', 'alam', 'gempa', 'bumi', 'wilayah', 'kab', 'cianjur', 'jawa', 'barat', 'senin', 'cc', 'radioelshinta', 'sonorafm']",1.0,pmi sejawa barat pmi sedki jakarta kerah personilnya upaya cari selamat masyarakat korban bencana alam gempa bumi wilayah kab cianjur jawa barat senin cc radioelshinta sonorafm
"['shock', 'salah', 'keluarga', 'korban', 'gempa', 'cianjur']",1.0,shock salah keluarga korban gempa cianjur
"['badan', 'geologi', 'esdm', 'tetap', 'cianjur', 'daerah', 'rawan', 'gempa', 'level']",1.0,badan geologi esdm tetap cianjur daerah rawan gempa level
"['buai', 'org', 'janji', 'janji', 'korban', 'gempa', 'palu', 'donggala', 'skrg', 'blm', 'selesai', 'kasihan', 'sdr', 'kpd', 'media', 'tolong', 'kasih', 'berita', 'lengkap', 'duit', 'cianjur', 'duit', 'negara', 'tangan']",-1.0,buai org janji janji korban gempa palu donggala skrg blm selesai kasihan sdr kpd media tolong kasih berita lengkap duit cianjur duit negara tangan
"['ungsi', 'gempa', 'nagrag', 'cianjur', 'butuh', 'obatobatan', 'terang']",1.0,ungsi gempa nagrag cianjur butuh obatobatan terang
"['kampung', 'garung', 'desa', 'cirumput', 'cugenang', 'kabupaten', 'cianjur', 'salah', 'desa', 'dampak', 'gempa']",1.0,kampung garung desa cirumput cugenang kabupaten cianjur salah desa dampak gempa
"['gempa', 'cianjur', 'gw', 'gempa', 'jogja', 'gw', 'sma', 'habis', 'gempa', 'jaring', 'komunikasi', 'putus', 'gw', 'keluarga', 'panik', 'saudara', 'dihubungin', 'gw', 'mantengin', 'berita', 'tv', 'sembari', 'ngeredial', 'nomer', 'saudara']",1.0,gempa cianjur gw gempa jogja gw sma habis gempa jaring komunikasi putus gw keluarga panik saudara dihubungin gw mantengin berita tv sembari ngeredial nomer saudara
"['korban', 'gempa', 'cianjur', 'trauma', 'pilih', 'rawat', 'tenda', 'darurat', 'rsud', 'cianjur']",1.0,korban gempa cianjur trauma pilih rawat tenda darurat rsud cianjur
"['pegawai', 'bapenda', 'jabar', 'samsat', 'urun', 'korban', 'gempa', 'cianjur']",1.0,pegawai bapenda jabar samsat urun korban gempa cianjur
"['update', 'donasi', 'nctzen', 'wayzenni', 'indonesia', 'bantu', 'korban', 'bencana', 'gempa', 'cianjur', 'jawa', 'barat', 'total', 'uang', 'masuk', 'rp', 'target', 'donasi', 'rp', 'bagi', 'qris', 'kitabisa']",1.0,update donasi nctzen wayzenni indonesia bantu korban bencana gempa cianjur jawa barat total uang masuk rp target donasi rp bagi qris kitabisa
"['update', 'korban', 'gempa', 'cianjur', 'ungsi', 'rumah', 'rusak']",1.0,update korban gempa cianjur ungsi rumah rusak
"['november', 'gempa', 'kuat', 'skala', 'mag', 'landa', 'cianjur', 'sekira', 'wib', 'puluh', 'jiwa', 'tinggal', 'dunia', 'ratus', 'alami', 'lukaluka', 'akibat', 'gempa', 'pmi', 'jateng', 'ajak', 'masyarakat', 'bagi', 'pmi', 'jateng', 'peduli']",1.0,november gempa kuat skala mag landa cianjur sekira wib puluh jiwa tinggal dunia ratus alami lukaluka akibat gempa pmi jateng ajak masyarakat bagi pmi jateng peduli
"['sukabumi', 'cianjur', 'lembang', 'purwakarta', 'bandung', 'kawasan', 'rawan', 'gempa']",-1.0,sukabumi cianjur lembang purwakarta bandung kawasan rawan gempa
"['inpres', 'jokowi', 'kait', 'tangan', 'gempa', 'cianjur', 'prayforcianjur']",1.0,inpres jokowi kait tangan gempa cianjur prayforcianjur
"['berita', 'populer', 'nusantara', 'ricuh', 'munas', 'hipmi', 'solo', 'jawa', 'update', 'korban', 'gempa', 'cianjur', 'mayortias', 'anakanak']",1.0,berita populer nusantara ricuh munas hipmi solo jawa update korban gempa cianjur mayortias anakanak
"['update', 'gempa', 'cianjur', 'tinggal', 'dlm', 'cari', 'lukaluka', 'ungsi', 'bnpb', 'data', 'rumah', 'rusak', 'berat', 'rusak', 'rusak', 'ringan', 'camat', 'cianjur', 'dampak', 'gempa', 'sholat', 'ghaib', 'ratus', 'warga', 'gaza', 'gempa', 'cianjur']",1.0,update gempa cianjur tinggal dlm cari lukaluka ungsi bnpb data rumah rusak berat rusak rusak ringan camat cianjur dampak gempa sholat ghaib ratus warga gaza gempa cianjur
"['daritadi', 'ni', 'akin', 'bmkg', 'ingponya', 'cianjur', 'gempa', 'mulu']",-1.0,daritadi ni akin bmkg ingponya cianjur gempa mulu
"['dirjenpas', 'baik', 'tembok', 'lapas', 'rusak', 'akibat', 'gempacianjur']",1.0,dirjenpas baik tembok lapas rusak akibat gempacianjur
"['energitodayid', 'pertamina', 'kemenbumn', 'datang', 'pertamina', 'ringan', 'beban', 'masyarakat', 'cianjur', 'kena', 'dampak', 'gempa']",1.0,energitodayid pertamina kemenbumn datang pertamina ringan beban masyarakat cianjur kena dampak gempa
"['asslkm', 'bgi', 'teman', 'ku', 'mohon', 'bntuan', 'kemanusian', 'nama', 'neneng', 'kmpung', 'ciwalen', 'desa', 'ciwalen', 'kc', 'warung', 'kondang', 'kb', 'cianjur', 'jawa', 'barat', 'lgi', 'kena', 'bencana', 'alam', 'gempa', 'bumi', 'mohon', 'bantu', 'temen', 'smua']",1.0,asslkm bgi teman ku mohon bntuan kemanusian nama neneng kmpung ciwalen desa ciwalen kc warung kondang kb cianjur jawa barat lgi kena bencana alam gempa bumi mohon bantu temen smua
"['kisah', 'korban', 'selamat', 'gempa', 'cianjur', 'tembok', 'ambruk']",1.0,kisah korban selamat gempa cianjur tembok ambruk
"['ka', 'jii', 'javjinandra', 'daerah', 'cianjur', 'kena', 'dampak', 'gempa', 'darat', 'kemaren', 'huhu', 'info', 'hoax', 'takut', 'kadang', 'gempa', 'susul']",-1.0,ka jii javjinandra daerah cianjur kena dampak gempa darat kemaren huhu info hoax takut kadang gempa susul
"['topik', 'im', 'pagi', 'pro', 'rri', 'grk', 'cpt', 'tngni', 'korban', 'gempa', 'cianjur', 'potensi', 'gempa', 'susul', 'cianjur', 'kwspdan', 'pesan', 'presiden', 'jokowi', 'untk', 'caprescawapres', 'indikasi', 'judi', 'online', 'ppatk', 'hntkn', 'trnsksi', 'rekening', 'penangnn', 'polio', 'pidie', 'aceh', 'impagi', 'iva']",1.0,topik im pagi pro rri grk cpt tngni korban gempa cianjur potensi gempa susul cianjur kwspdan pesan presiden jokowi untk caprescawapres indikasi judi online ppatk hntkn trnsksi rekening penangnn polio pidie aceh impagi iva
"['pks', 'instruksi', 'wakil', 'rakyat', 'sisih', 'gaji', 'korban', 'gempa', 'cianjur']",1.0,pks instruksi wakil rakyat sisih gaji korban gempa cianjur
"['jiwa', 'raga', 'manusia', 'cianjur', 'sigapterdampakbencana', 'potret', 'personel', 'korps', 'bhayangkara', 'selamat', 'anak', 'korban', 'bencana', 'alam', 'gempa', 'bumi', 'cianjur', 'jawa', 'barat', 'senin']",1.0,jiwa raga manusia cianjur sigapterdampakbencana potret personel korps bhayangkara selamat anak korban bencana alam gempa bumi cianjur jawa barat senin
"['ekonomiritumbuhtinggi', 'wapres', 'ri', 'kyai', 'maruf', 'amin', 'ungsi', 'korban', 'gempa', 'cianjur', 'huni', 'layak', 'ekonomiritumbuhtinggi']",1.0,ekonomiritumbuhtinggi wapres ri kyai maruf amin ungsi korban gempa cianjur huni layak ekonomiritumbuhtinggi
"['tempuh', 'jalan', 'mobil', 'presiden', 'joko', 'widodo', 'pasti', 'akses', 'jalan', 'tutup', 'akibat', 'gempa', 'cianjur', 'sudahterbuka']",1.0,tempuh jalan mobil presiden joko widodo pasti akses jalan tutup akibat gempa cianjur sudahterbuka
"['rumah', 'hancur', 'kena', 'gempa', 'cianjur', 'bocah', 'farid', 'syukur', 'keluarga', 'selamat']",1.0,rumah hancur kena gempa cianjur bocah farid syukur keluarga selamat
"['jazuli', 'instruksi', 'aleg', 'pks', 'potong', 'gaji', 'bantu', 'korban', 'gempa', 'cianjur']",1.0,jazuli instruksi aleg pks potong gaji bantu korban gempa cianjur
"['perintah', 'gerak', 'cepat', 'tangan', 'dampak', 'bencana', 'gempa', 'bumi', 'cianjur', 'ekonomiritumbuhtinggi']",1.0,perintah gerak cepat tangan dampak bencana gempa bumi cianjur ekonomiritumbuhtinggi
"['legislator', 'potong', 'gaji', 'bantu', 'korban', 'gempa', 'cianjur', 'jazulijuwaini']",1.0,legislator potong gaji bantu korban gempa cianjur jazulijuwaini
"['presiden', 'jokowi', 'jalur', 'darat', 'cianjur', 'pasti', 'tangan', 'korban', 'gempa', 'ekonomiritumbuhtinggi']",1.0,presiden jokowi jalur darat cianjur pasti tangan korban gempa ekonomiritumbuhtinggi
"['polisi', 'negara', 'republik', 'indonesia', 'pray', 'for', 'cianjur', 'duka', 'cita', 'bencana', 'gempa', 'cianjur', 'jawa', 'barat', 'polri', 'sigapterdampakbencana', 'jiwa', 'raga', 'manusia', 'cianjur']",1.0,polisi negara republik indonesia pray for cianjur duka cita bencana gempa cianjur jawa barat polri sigapterdampakbencana jiwa raga manusia cianjur
"['gempa', 'susul', 'guncang', 'cianjur', 'kuat', 'capai', 'm']",1.0,gempa susul guncang cianjur kuat capai m
"['aksi', 'fraksi', 'pks', 'potong', 'gaji', 'bantu', 'korban', 'gempa', 'cianjur']",1.0,aksi fraksi pks potong gaji bantu korban gempa cianjur
